,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
44,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,2,0,1,0,3,5,5,6,0,5,1,7,0,7,5,1,32694901.094161935,0.0,191285353.95062754,0.0,66629563.55863415,0.0,32947827.454104,0.0003883598820846193,146955199.29706785,0.0011870049336222986,946900000.0,809.8129916282971
45,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,3,6,0,0,4,1,1,5,3,7,2,9,2,4,154311096.58843052,0.0,92314676.76574436,0.017486989458787208,72092374.52729654,0.0,34487650.76874334,0.0,138732053.11462647,0.0,964800000.0,0.0
46,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,3,6,0,0,1,6,1,5,3,7,2,9,2,4,154311096.58843052,0.0,90613295.95507734,0.023574960553579077,92666736.39115658,0.0,34487650.76874334,0.0,138732053.11462647,0.0,964800000.0,0.0
47,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,6,9,6,5,0,1,7,3,1,5,3,7,32694901.094161935,0.0,285463994.18771136,0.0,52811167.63503672,0.0,33801522.61574014,0.0,773078571.4636686,0.26962427978358733,417700000.0,0.0
48,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,3,4,0,5,7,2,1,0,7,2,4,1,9,2,1,95213987.28559849,0.0,210219938.82131863,0.0,78082441.89913034,0.019119428246901448,33309964.54525209,0.0017518293043157045,141803289.95233536,0.00650381866492516,1268900000.0,0.0
49,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,2,1,3,6,0,7,2,1,2,5,2,7,5,9,2,0,145883058.26646656,0.0,140726449.4385018,0.0008902210175747795,75077222.04581898,0.0,45159328.97006441,0.00024841298226013374,90430170.7547297,0.0,862300000.0,492.25236094762676
50,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,2,2,5,3,0,0,1,3,4,2,3,7,6,2,6,138836457.4382795,0.0,47842699.56310011,0.0,86702868.50931118,0.009530564633645284,36349827.843300715,0.0006834141454944981,389711088.73366916,0.11088568402105842,1004800000.0,0.0
51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,7,7,0,1,0,5,6,6,7,1,7,2,0,139382316.28490794,0.0,121701716.67461371,0.0,132276585.00281361,0.020500987871248384,39816568.41869327,0.0,448103983.44252014,0.05693606351119038,217800000.0,6082.393455089654
52,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,6,0,0,1,6,1,5,0,6,4,6,2,5,131444749.25204396,0.0,90613295.95507734,0.023574960553579077,92666736.39115658,0.0,43917289.00856378,0.003940424311673809,178243410.81724477,0.023437116696205577,1003100000.0,0.0
53,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,4,0,4,3,1,5,2,4,2,9,3,3,32694901.094161935,0.0,114392792.32657647,0.0,79591223.60465036,0.0,35256709.98093854,0.0020004777256920027,143391278.06292218,0.001633064499930675,625800000.0,0.0
